I/SleepMonitor: 1571685801430, 9.802003;1571685801526, 9.885814;1571685801622, 9.802366;1571685801717, 9.748463;1571685801813, 9.673647;1571685801909, 9.768949;1571685802007, 9.818729;1571685802100, 9.833611;1571685802196, 9.81711;1571685802293, 9.814881;1571685802388, 9.827374;
I/SleepMonitor: 1571685802484, 9.740547;1571685802580, 9.821562;1571685802676, 9.785701;1571685802772, 9.804891;1571685802868, 9.812317;1571685802963, 9.783643;1571685803067, 9.824106;1571685803155, 9.790644;1571685803251, 9.778676;1571685803346, 9.714544;1571685803442, 9.779034;
I/SleepMonitor: 1571685803537, 9.790445;1571685803633, 9.838083;1571685803729, 9.854761;1571685803825, 9.793181;1571685803922, 9.719829;1571685804018, 9.7219095;1571685804112, 9.783204;1571685804208, 9.840085;1571685804303, 9.852055;1571685804399, 9.809486;1571685804495, 9.771569;
I/SleepMonitor: 1571685804591, 9.767319;1571685804687, 9.8134575;1571685804783, 9.847719;1571685804878, 9.901003;1571685804974, 9.790236;1571685805070, 9.776388;1571685805166, 9.802795;1571685805262, 9.793049;1571685805360, 9.8285885;1571685805454, 9.79049;1571685805550, 9.783309;
I/SleepMonitor: 1571685805645, 9.804988;1571685805741, 9.845325;1571685805838, 9.86936;1571685805934, 9.845167;1571685806029, 9.755253;1571685806124, 9.73229;1571685806220, 9.72703;1571685806316, 9.794931;1571685806412, 9.893477;1571685806508, 9.852302;1571685806603, 9.783365;
I/SleepMonitor: 1571685806699, 9.791665;1571685806795, 9.717275;1571685806891, 9.785682;1571685806987, 9.819064;1571685807085, 9.828636;1571685807178, 9.785586;1571685807274, 9.747838;1571685807370, 9.759469;1571685807465, 9.8050165;1571685807561, 9.790837;1571685807657, 9.634483;
I/SleepMonitor: 1571685807753, 9.785936;1571685807850, 9.791296;1571685807945, 9.821485;1571685808040, 9.823887;1571685808136, 9.529175;1571685808232, 9.7912245;1571685808328, 9.734557;1571685808425, 9.769354;1571685808520, 9.821592;1571685808616, 9.866953;1571685808711, 9.83326;
I/SleepMonitor: 1571685808807, 9.786196;1571685808902, 9.736464;1571685808999, 9.743211;1571685809094, 9.7784395;1571685809190, 9.852504;1571685809285, 9.8405285;1571685809382, 9.790795;1571685809478, 9.759489;1571685809576, 9.74524;1571685809670, 9.77647;1571685809766, 9.824164;
I/SleepMonitor: 1571685809861, 9.807372;1571685809956, 9.77651;1571685810052, 9.783452;1571685810148, 9.816701;1571685810244, 9.809492;1571685810339, 9.798025;1571685810435, 9.738808;1571685810531, 9.733656;1571685810627, 9.79045;1571685810723, 9.845134;1571685810820, 9.847687;
I/SleepMonitor: 1571685810915, 9.779026;1571685811010, 9.665572;1571685811107, 9.719911;1571685811203, 9.77181;1571685811299, 9.821454;1571685811394, 9.82843;1571685811489, 9.81199;1571685811585, 9.776267;1571685811680, 9.78652;1571685811776, 9.79361;1571685811872, 9.831419;
